#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
240000,480.0000000015638,-7424965.91525035,300.4987139076167,42.7
245000,490.00000000161157,-7419017.85275035,300.76822555035176,42.7
250000,500.0000000016593,-7421125.25118785,300.36560790093216,42.7
255000,510.00000000170706,-7422420.32150035,300.137937086384,42.7
260000,520.0000000015274,-7424886.03243785,299.87982296169304,42.7
265000,530.0000000012909,-7422948.90743785,300.2889995172476,42.7
270000,540.0000000010544,-7425137.77462535,299.7718296811947,42.7
275000,550.000000000818,-7423283.86837535,300.9317902715899,42.7
280000,560.0000000005815,-7423925.99337535,299.80639284788947,42.7
285000,570.000000000345,-7423765.96993785,300.8303283004149,42.7
290000,580.0000000001086,-7422713.59493785,299.87543891349185,42.7
295000,589.9999999998721,-7422085.56368785,300.4936285341537,42.7
300000,599.9999999996356,-7425288.10275035,300.4042310950618,42.7
305000,609.9999999993992,-7420951.42306285,300.6613199142925,42.7
310000,619.9999999991627,-7423675.76681285,300.4990957403624,42.7
315000,629.9999999989262,-7422323.63400035,299.6166817305368,42.7
320000,639.9999999986898,-7420913.82150035,301.40282453876523,42.7
325000,649.9999999984533,-7424764.89962535,300.3129297319502,42.7
330000,659.9999999982168,-7416755.36056285,300.77786503458344,42.7
335000,669.9999999979804,-7423563.49337535,300.3779219473465,42.7
340000,679.9999999977439,-7421488.25118785,300.5062097813771,42.7
345000,689.9999999975074,-7428634.73556285,300.7572971319384,42.7
350000,699.999999997271,-7420974.00900035,300.88074908369873,42.7
355000,709.9999999970345,-7422551.77462535,300.16909225941265,42.7
360000,719.999999996798,-7424475.79025035,300.286801886534,42.7
365000,729.9999999965615,-7422713.85275035,299.7215842047403,42.7
370000,739.9999999963251,-7426221.89181285,299.9227324389389,42.7
375000,749.9999999960886,-7425825.23556285,300.20552020116355,42.7
380000,759.9999999958521,-7420922.98556285,300.3689003740809,42.7
385000,769.9999999956157,-7420860.38400035,300.36600833638994,42.8
390000,779.9999999953792,-7423774.71993785,300.4371267258798,42.8
395000,789.9999999951427,-7419518.21212535,301.3002320636116,42.8
400000,799.9999999949063,-7421496.39181285,300.00668096873324,42.8
405000,809.9999999946698,-7425980.57150035,299.6096144900421,42.8
410000,819.9999999944333,-7426093.84493785,300.8986571609636,42.8
415000,829.9999999941969,-7426815.90743785,299.763814905754,42.8
420000,839.9999999939604,-7422139.57150035,300.10429571740116,42.8
425000,849.9999999937239,-7427412.25118785,300.0195939795071,42.8
430000,859.9999999934874,-7428456.47775035,300.16676454282026,42.8
435000,869.999999993251,-7428579.82931285,300.23666764544066,42.8
440000,879.9999999930145,-7420163.12618785,299.92493986864605,42.8
445000,889.999999992778,-7421596.00118785,300.03325775773646,42.8
450000,899.9999999925416,-7428975.43868785,299.69411229740314,42.8
455000,909.9999999923051,-7433117.32931285,299.2000785709097,42.8
460000,919.9999999920686,-7426647.83712535,300.7554956484502,42.8
465000,929.9999999918322,-7422944.40743785,300.3508858711878,42.8
470000,939.9999999915957,-7422359.75118785,299.3589677097227,42.8
475000,949.9999999913592,-7420675.07150035,300.71963379409624,42.8
480000,959.9999999911228,-7427339.19650035,300.2802533290557,42.8
485000,969.9999999908863,-7425631.61837535,299.29111087874446,42.8
490000,979.9999999906498,-7430225.31368785,300.17331651990025,42.8
495000,989.9999999904134,-7417093.91525035,300.7716215080117,42.8
500000,999.9999999901769,-7426144.97775035,300.50754997709873,42.8
505000,1009.9999999899404,-7430171.71212535,300.69440801470375,42.8
510000,1019.999999989704,-7423515.17306285,300.3139274410494,42.8
515000,1029.9999999894676,-7424158.49337535,300.80955903555815,42.8
520000,1039.9999999892311,-7420592.32931285,300.8396592978945,42.8
525000,1049.9999999889947,-7420016.76681285,300.8626779557338,42.8
530000,1059.9999999887582,-7422910.19650035,300.4989657797853,42.8
535000,1069.9999999885217,-7422294.69650035,300.44864873217614,42.8
540000,1079.9999999882853,-7423712.16525035,300.55379122227487,42.8
545000,1089.9999999880488,-7432225.73556285,300.57732629924953,42.8
550000,1099.9999999878123,-7424901.82150035,300.7961921642342,42.8
555000,1109.9999999875758,-7426264.56368785,300.9496095811565,42.8
560000,1119.9999999873394,-7423730.46993785,300.7748353855305,42.8
565000,1129.999999987103,-7423633.30587535,300.50664801166334,42.8
570000,1139.9999999868664,-7427905.59493785,299.8481494568958,42.8
575000,1149.99999998663,-7430397.30587535,301.12425520226213,42.8
580000,1159.9999999863935,-7423915.91525035,300.0908463082997,42.8
585000,1169.999999986157,-7427793.41525035,300.0264954607701,42.8
590000,1179.9999999859206,-7423456.50118785,300.36914399969004,42.8
595000,1189.999999985684,-7421958.97775035,299.8272060360708,42.8
600000,1199.9999999854476,-7422835.74337535,300.44889310107953,42.8
605000,1209.9999999852112,-7424206.50118785,300.96514221326515,42.8
610000,1219.9999999849747,-7427634.04806285,300.3019291618912,42.8
615000,1229.9999999847382,-7422420.76681285,300.46593505794976,42.8
620000,1239.9999999845018,-7420110.22775035,300.50416775880916,42.8
625000,1249.9999999842653,-7425482.98556285,299.87558599603034,42.8
630000,1259.9999999840288,-7422873.41525035,300.19576991613553,42.8
635000,1269.9999999837923,-7423883.78243785,300.0677515001242,42.8
640000,1279.9999999835559,-7429362.05587535,301.04084434705175,42.8
645000,1289.9999999833194,-7424098.68868785,300.73905661978137,42.8
650000,1299.999999983083,-7427878.73556285,300.4973078800871,42.8
655000,1309.9999999828465,-7424033.88400035,300.15659680600936,42.8
660000,1319.99999998261,-7421244.67306285,300.0432660901084,42.8
665000,1329.9999999823735,-7426085.09493785,300.05121822588717,42.8
670000,1339.999999982137,-7425124.25118785,299.6847785917337,42.8
675000,1349.9999999819006,-7422307.42306285,300.7182712744531,42.8
680000,1359.9999999816641,-7426601.90743785,299.938762346783,42.8
685000,1369.9999999814277,-7423106.86837535,299.63296836329215,42.8
690000,1379.9999999811912,-7426224.51681285,299.8540801648631,42.8
695000,1389.9999999809547,-7427002.97775035,300.06566731826763,42.8
