time_ns,rmsd_angstrom
4.250000000000000000e+00,3.598599910736083984e+00
4.299999999999999822e+00,3.719917774200439453e+00
4.350000000000000533e+00,3.672407388687133789e+00
4.400000000000000355e+00,3.590327262878417969e+00
4.450000000000000178e+00,3.658849716186523438e+00
4.500000000000000000e+00,3.609315872192382812e+00
4.549999999999999822e+00,3.665860652923583984e+00
4.600000000000000533e+00,3.648395299911499023e+00
4.650000000000000355e+00,3.544651508331298828e+00
4.700000000000000178e+00,3.701846837997436523e+00
4.750000000000000000e+00,3.677498579025268555e+00
4.800000000000000711e+00,3.613254785537719727e+00
4.850000000000000533e+00,3.570631504058837891e+00
4.900000000000000355e+00,3.607513904571533203e+00
4.950000000000000178e+00,3.641402244567871094e+00
5.000000000000000000e+00,3.680501937866210938e+00
5.050000000000000711e+00,3.671045303344726562e+00
5.100000000000000533e+00,3.729925155639648438e+00
5.150000000000000355e+00,3.826846361160278320e+00
5.200000000000000178e+00,3.801820039749145508e+00
5.250000000000000000e+00,3.904244422912597656e+00
5.300000000000000711e+00,3.966709375381469727e+00
5.350000000000000533e+00,3.942965984344482422e+00
5.400000000000000355e+00,3.825120925903320312e+00
5.450000000000000178e+00,3.731190681457519531e+00
5.500000000000000000e+00,3.676240444183349609e+00
5.550000000000000711e+00,3.777854919433593750e+00
5.600000000000000533e+00,3.824959754943847656e+00
5.650000000000000355e+00,3.904128551483154297e+00
5.700000000000000178e+00,3.934745788574218750e+00
5.750000000000000000e+00,3.873043537139892578e+00
5.800000000000000711e+00,3.987330913543701172e+00
5.850000000000000533e+00,4.092533111572265625e+00
5.900000000000000355e+00,4.064888000488281250e+00
5.950000000000000178e+00,4.132160186767578125e+00
6.000000000000000000e+00,4.238345146179199219e+00
6.050000000000000711e+00,4.216522693634033203e+00
6.100000000000000533e+00,4.211112499237060547e+00
6.150000000000000355e+00,4.152450561523437500e+00
6.200000000000000178e+00,4.189131736755371094e+00
6.250000000000000000e+00,4.250455856323242188e+00
6.300000000000000711e+00,4.305146217346191406e+00
6.350000000000000533e+00,4.323092460632324219e+00
6.400000000000000355e+00,4.364775657653808594e+00
6.450000000000000178e+00,4.261465549468994141e+00
6.500000000000000000e+00,4.202292919158935547e+00
6.550000000000000711e+00,4.145414352416992188e+00
6.600000000000000533e+00,4.138900756835937500e+00
6.650000000000000355e+00,4.189502239227294922e+00
6.700000000000000178e+00,4.130062103271484375e+00
6.750000000000000000e+00,4.200830459594726562e+00
6.800000000000000711e+00,4.232443809509277344e+00
6.850000000000000533e+00,4.162348747253417969e+00
6.900000000000000355e+00,4.267992019653320312e+00
6.950000000000000178e+00,4.289447784423828125e+00
7.000000000000000000e+00,4.378778457641601562e+00
7.050000000000000711e+00,4.342653751373291016e+00
7.100000000000000533e+00,4.310374259948730469e+00
7.150000000000000355e+00,4.247330188751220703e+00
7.200000000000000178e+00,4.188146114349365234e+00
7.250000000000000000e+00,4.270072460174560547e+00
7.300000000000000711e+00,4.280447959899902344e+00
7.350000000000000533e+00,4.319355010986328125e+00
7.400000000000000355e+00,4.354998111724853516e+00
7.450000000000000178e+00,4.360106945037841797e+00
7.500000000000000000e+00,4.339619636535644531e+00
7.550000000000000711e+00,4.210409164428710938e+00
7.600000000000000533e+00,4.179944992065429688e+00
7.650000000000000355e+00,4.225834846496582031e+00
7.700000000000000178e+00,4.201961517333984375e+00
7.750000000000000000e+00,4.180019378662109375e+00
7.800000000000000711e+00,4.239650249481201172e+00
7.850000000000000533e+00,4.070717334747314453e+00
7.900000000000000355e+00,4.189951419830322266e+00
7.950000000000000178e+00,4.219674587249755859e+00
8.000000000000000000e+00,4.115828037261962891e+00
8.050000000000000711e+00,4.296092510223388672e+00
8.099999999999999645e+00,4.318949699401855469e+00
8.150000000000000355e+00,4.332799911499023438e+00
8.200000000000001066e+00,4.249245166778564453e+00
8.250000000000000000e+00,4.102847099304199219e+00
8.300000000000000711e+00,4.190580368041992188e+00
8.349999999999999645e+00,4.228126049041748047e+00
8.400000000000000355e+00,4.300012588500976562e+00
8.450000000000001066e+00,4.255424022674560547e+00
8.500000000000000000e+00,4.402038574218750000e+00
8.550000000000000711e+00,4.333212375640869141e+00
8.599999999999999645e+00,4.429640769958496094e+00
8.650000000000000355e+00,4.387217521667480469e+00
8.700000000000001066e+00,4.354951858520507812e+00
8.750000000000000000e+00,4.439954280853271484e+00
8.800000000000000711e+00,4.518396377563476562e+00
8.849999999999999645e+00,4.420470237731933594e+00
