time_ns,rmsd_angstrom
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.275957822799682617e+00
1.000000000000000056e-01,1.579008340835571289e+00
1.500000000000000222e-01,1.725089311599731445e+00
2.000000000000000111e-01,1.890864849090576172e+00
2.500000000000000000e-01,1.978892803192138672e+00
3.000000000000000444e-01,2.083606481552124023e+00
3.500000000000000333e-01,2.131904125213623047e+00
4.000000000000000222e-01,2.165172100067138672e+00
4.500000000000000111e-01,2.177561521530151367e+00
5.000000000000000000e-01,2.286316394805908203e+00
5.500000000000000444e-01,2.231245994567871094e+00
6.000000000000000888e-01,2.283784389495849609e+00
6.500000000000000222e-01,2.377867221832275391e+00
7.000000000000000666e-01,2.597715139389038086e+00
7.500000000000000000e-01,2.637211799621582031e+00
8.000000000000000444e-01,2.596651315689086914e+00
8.500000000000000888e-01,2.718190670013427734e+00
9.000000000000000222e-01,2.742151737213134766e+00
9.500000000000000666e-01,2.658124446868896484e+00
1.000000000000000000e+00,2.829127788543701172e+00
1.050000000000000044e+00,2.930063009262084961e+00
1.100000000000000089e+00,2.922054290771484375e+00
1.150000000000000133e+00,2.927850246429443359e+00
1.200000000000000178e+00,2.940707206726074219e+00
1.250000000000000000e+00,2.897878408432006836e+00
1.300000000000000044e+00,3.024989128112792969e+00
1.350000000000000089e+00,2.888565540313720703e+00
1.400000000000000133e+00,2.935890197753906250e+00
1.450000000000000178e+00,2.882409572601318359e+00
1.500000000000000000e+00,3.003468036651611328e+00
1.550000000000000044e+00,3.045130252838134766e+00
1.600000000000000089e+00,3.039367675781250000e+00
1.650000000000000133e+00,2.981269359588623047e+00
1.700000000000000178e+00,2.950781822204589844e+00
1.750000000000000000e+00,3.045807361602783203e+00
1.800000000000000044e+00,3.022521018981933594e+00
1.850000000000000089e+00,3.090996742248535156e+00
1.900000000000000133e+00,3.126121520996093750e+00
1.950000000000000178e+00,3.114312171936035156e+00
2.000000000000000000e+00,3.173382282257080078e+00
2.050000000000000266e+00,3.146691799163818359e+00
2.100000000000000089e+00,3.167501688003540039e+00
2.149999999999999911e+00,3.253573894500732422e+00
2.200000000000000178e+00,3.319318532943725586e+00
2.250000000000000000e+00,3.357219696044921875e+00
2.300000000000000266e+00,3.295567512512207031e+00
2.350000000000000089e+00,3.307593822479248047e+00
2.400000000000000355e+00,3.344934463500976562e+00
2.450000000000000178e+00,3.306706428527832031e+00
2.500000000000000000e+00,3.229293823242187500e+00
2.550000000000000266e+00,3.312497138977050781e+00
2.600000000000000089e+00,3.237284660339355469e+00
2.650000000000000355e+00,3.185549974441528320e+00
2.700000000000000178e+00,3.155300855636596680e+00
2.750000000000000000e+00,3.051384925842285156e+00
2.800000000000000266e+00,3.033388137817382812e+00
2.850000000000000089e+00,3.015027523040771484e+00
2.900000000000000355e+00,3.034967899322509766e+00
2.950000000000000178e+00,3.087014913558959961e+00
3.000000000000000000e+00,3.146194458007812500e+00
3.050000000000000266e+00,3.145993232727050781e+00
3.100000000000000089e+00,3.311297416687011719e+00
3.150000000000000355e+00,3.287752389907836914e+00
3.200000000000000178e+00,3.358932733535766602e+00
3.250000000000000000e+00,3.285881757736206055e+00
3.300000000000000266e+00,3.286427736282348633e+00
3.350000000000000089e+00,3.361608743667602539e+00
3.400000000000000355e+00,3.412277698516845703e+00
3.450000000000000178e+00,3.382775783538818359e+00
3.500000000000000000e+00,3.348678112030029297e+00
3.550000000000000266e+00,3.412609577178955078e+00
3.600000000000000089e+00,3.466444253921508789e+00
3.650000000000000355e+00,3.389390707015991211e+00
3.700000000000000178e+00,3.401375293731689453e+00
3.750000000000000000e+00,3.386652946472167969e+00
3.800000000000000266e+00,3.443550586700439453e+00
3.850000000000000089e+00,3.463567733764648438e+00
3.900000000000000355e+00,3.620019197463989258e+00
3.950000000000000178e+00,3.463350296020507812e+00
4.000000000000000000e+00,3.623371601104736328e+00
4.049999999999999822e+00,3.519806623458862305e+00
4.100000000000000533e+00,3.613729238510131836e+00
4.150000000000000355e+00,3.617937564849853516e+00
4.200000000000000178e+00,3.645095109939575195e+00
4.250000000000000000e+00,3.608968257904052734e+00
4.299999999999999822e+00,3.624608516693115234e+00
4.350000000000000533e+00,3.661687135696411133e+00
4.400000000000000355e+00,3.642992734909057617e+00
4.450000000000000178e+00,3.581407785415649414e+00
4.500000000000000000e+00,3.697261095046997070e+00
4.549999999999999822e+00,3.704208374023437500e+00
4.600000000000000533e+00,3.669475078582763672e+00
4.650000000000000355e+00,3.849822044372558594e+00
4.700000000000000178e+00,3.803448200225830078e+00
4.750000000000000000e+00,3.838027000427246094e+00
4.800000000000000711e+00,3.960357189178466797e+00
4.850000000000000533e+00,3.853988170623779297e+00
4.900000000000000355e+00,4.053641796112060547e+00
4.950000000000000178e+00,4.092334270477294922e+00
5.000000000000000000e+00,4.085088729858398438e+00
5.050000000000000711e+00,4.132112979888916016e+00
5.100000000000000533e+00,4.111481189727783203e+00
5.150000000000000355e+00,4.131371498107910156e+00
5.200000000000000178e+00,4.227826118469238281e+00
5.250000000000000000e+00,4.112164020538330078e+00
5.300000000000000711e+00,4.219926834106445312e+00
5.350000000000000533e+00,4.174756050109863281e+00
5.400000000000000355e+00,4.252472877502441406e+00
5.450000000000000178e+00,4.284678459167480469e+00
5.500000000000000000e+00,4.203266620635986328e+00
5.550000000000000711e+00,4.170557975769042969e+00
